"","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64"
"agreeable",-0.953450377812511,3.74045917449524,1.39350439834136,0.220027010264426,-0.953450377812511,-0.953450377812511,-0.953450377812511,-0.953450377812511,0.220027010264426,0.220027010264426,0.220027010264426,-0.953450377812511,0.220027010264426,-0.953450377812511,0.220027010264426,0.220027010264426,0.220027010264426,0.220027010264426,1.39350439834136,0.220027010264426,-0.953450377812511,1.39350439834136,0.220027010264426,-0.953450377812511,0.220027010264426,0.220027010264426,0.220027010264426,0.220027010264426,-0.953450377812511,1.39350439834136,0.220027010264426,-0.953450377812511,-0.953450377812511,0.220027010264426,0.220027010264426,-0.953450377812511,0.220027010264426,1.39350439834136,0.220027010264426,1.39350439834136,-0.953450377812511,2.5669817864183,1.39350439834136,0.220027010264426,0.220027010264426,0.220027010264426,0.220027010264426,-0.953450377812511,1.39350439834136,-0.953450377812511,1.39350439834136,-0.953450377812511,-0.953450377812511,-0.953450377812511,-0.953450377812511,-0.953450377812511,0.220027010264426,-0.953450377812511,-0.953450377812511,0.220027010264426,-0.953450377812511,0.220027010264426,-0.953450377812511,-0.953450377812511
"man",-1.07429394349638,-0.0519175511726875,-0.563105747334534,-1.07429394349638,-1.3298880415773,1.22605293923193,1.48164703731285,-0.563105747334534,-0.563105747334534,0.203676546908236,-1.58548213965823,-0.307511649253611,0.459270644989159,4.54877621428393,-0.307511649253611,-0.307511649253611,-1.07429394349638,-0.0519175511726875,-0.0519175511726875,1.22605293923193,-0.818699845415457,1.48164703731285,1.22605293923193,0.203676546908236,-0.818699845415457,1.22605293923193,2.24842933155562,0.714864743070082,-0.563105747334534,-0.307511649253611,0.203676546908236,-0.0519175511726875,-0.0519175511726875,-0.0519175511726875,0.459270644989159,-1.3298880415773,-0.307511649253611,1.48164703731285,0.203676546908236,-1.3298880415773,0.714864743070082,-0.307511649253611,0.203676546908236,-1.3298880415773,-0.0519175511726875,-0.307511649253611,-1.07429394349638,-0.307511649253611,-0.307511649253611,0.203676546908236,-0.818699845415457,0.970458841151006,-0.818699845415457,-0.0519175511726875,-0.307511649253611,0.714864743070082,-0.0519175511726875,-0.307511649253611,-0.0519175511726875,-0.818699845415457,0.459270644989159,0.459270644989159,0.203676546908236,-1.07429394349638
"old",-0.943902723174015,-0.943902723174015,-0.00586274983337898,-0.568686733837761,-0.756294728505888,0.74456922883913,-1.13151071784214,0.181745244834748,0.369353239502876,-0.943902723174015,1.49500120751164,-0.193470744501506,0.181745244834748,1.30739321284351,-1.13151071784214,-0.756294728505888,2.05782519151602,1.30739321284351,-0.568686733837761,-1.5067267071784,2.05782519151602,0.369353239502876,-0.193470744501506,0.74456922883913,-0.756294728505888,0.181745244834748,-1.13151071784214,-0.568686733837761,-0.756294728505888,0.74456922883913,-0.193470744501506,-0.568686733837761,0.181745244834748,0.932177223507257,-0.193470744501506,-1.31911871251027,-0.756294728505888,1.68260920217977,-0.943902723174015,-0.943902723174015,0.556961234171003,-0.00586274983337898,-0.381078739169634,-0.943902723174015,0.556961234171003,-1.31911871251027,-0.568686733837761,0.556961234171003,-0.756294728505888,-0.943902723174015,0.181745244834748,-0.00586274983337898,-0.943902723174015,2.6206491755204,-0.568686733837761,-0.00586274983337898,-0.193470744501506,-0.381078739169634,-0.00586274983337898,1.87021719684789,1.68260920217977,-0.568686733837761,2.43304118085228,0.369353239502876
"person",-0.883937466997719,1.5233815920599,0.31972206253109,-0.282107702233314,-0.282107702233314,0.31972206253109,0.31972206253109,-0.282107702233314,2.1252113568243,-0.883937466997719,-0.883937466997719,-0.282107702233314,-0.883937466997719,-0.883937466997719,-0.883937466997719,0.31972206253109,-0.282107702233314,1.5233815920599,1.5233815920599,-0.883937466997719,-0.282107702233314,-0.883937466997719,0.921551827295494,-0.883937466997719,-0.883937466997719,0.31972206253109,-0.282107702233314,2.1252113568243,0.31972206253109,-0.282107702233314,1.5233815920599,-0.883937466997719,0.31972206253109,0.31972206253109,-0.883937466997719,-0.883937466997719,-0.883937466997719,-0.282107702233314,-0.883937466997719,-0.282107702233314,0.31972206253109,1.5233815920599,-0.282107702233314,-0.883937466997719,3.93070065111751,0.31972206253109,-0.282107702233314,-0.282107702233314,1.5233815920599,0.921551827295494,-0.282107702233314,0.31972206253109,0.31972206253109,-0.883937466997719,-0.282107702233314,-0.883937466997719,0.31972206253109,-0.883937466997719,-0.883937466997719,-0.883937466997719,-0.883937466997719,-0.883937466997719,-0.282107702233314,1.5233815920599
"anything",-0.554846582155581,-1.54124050598772,-0.554846582155581,-0.554846582155581,-0.554846582155581,0.431547341676563,0.431547341676563,0.431547341676563,-0.554846582155581,-0.554846582155581,0.924744303592635,0.924744303592635,1.91113822742478,-1.04804354407165,0.431547341676563,2.89753215125692,0.431547341676563,0.924744303592635,0.924744303592635,0.431547341676563,0.431547341676563,0.431547341676563,0.431547341676563,-0.554846582155581,0.431547341676563,0.431547341676563,-1.54124050598772,-1.04804354407165,-0.554846582155581,1.41794126550871,0.924744303592635,-0.061649620239509,-1.04804354407165,-1.54124050598772,-1.04804354407165,-0.554846582155581,0.924744303592635,-0.554846582155581,-0.554846582155581,0.431547341676563,-0.061649620239509,-0.061649620239509,-0.061649620239509,-0.061649620239509,-1.04804354407165,-0.061649620239509,0.924744303592635,-0.061649620239509,1.41794126550871,-1.54124050598772,0.431547341676563,-0.554846582155581,-0.554846582155581,2.89753215125692,-0.554846582155581,-0.061649620239509,-0.554846582155581,-0.061649620239509,-1.04804354407165,-1.04804354407165,-1.04804354407165,2.40433518934085,-0.554846582155581,-1.04804354407165
"short",0.830172886201244,0.282429950975681,-0.265312984249882,-1.36079885470101,-0.813055919475445,0.830172886201244,-1.36079885470101,-0.813055919475445,-0.265312984249882,1.37791582142681,-0.813055919475445,1.92565875665237,3.0211446271035,-1.36079885470101,0.282429950975681,-0.813055919475445,-0.265312984249882,-0.813055919475445,2.47340169187793,-1.36079885470101,-0.813055919475445,0.830172886201244,0.830172886201244,0.282429950975681,-0.265312984249882,-0.265312984249882,-0.265312984249882,0.282429950975681,0.282429950975681,0.282429950975681,0.830172886201244,-0.813055919475445,-0.265312984249882,2.47340169187793,-0.813055919475445,-0.813055919475445,-0.813055919475445,1.37791582142681,0.282429950975681,0.282429950975681,-0.265312984249882,0.830172886201244,-1.36079885470101,1.37791582142681,0.282429950975681,-0.813055919475445,-0.813055919475445,-0.813055919475445,1.37791582142681,-0.265312984249882,0.830172886201244,-1.36079885470101,-0.265312984249882,-0.813055919475445,-0.265312984249882,0.282429950975681,0.282429950975681,-0.265312984249882,-0.265312984249882,0.830172886201244,0.282429950975681,-0.813055919475445,-0.265312984249882,-1.36079885470101
"arm",-0.703022854193785,-0.111003608556913,0.481015637079958,2.84909261962744,1.07303488271683,-0.703022854193785,0.481015637079958,0.481015637079958,-0.703022854193785,-0.111003608556913,-0.703022854193785,-0.111003608556913,-0.703022854193785,-0.111003608556913,-0.703022854193785,-0.703022854193785,-0.703022854193785,-1.29504209983066,-1.29504209983066,2.25707337399057,-0.111003608556913,-1.29504209983066,-0.703022854193785,1.07303488271683,2.25707337399057,-0.111003608556913,-0.111003608556913,-1.29504209983066,-0.703022854193785,-0.703022854193785,-0.703022854193785,1.6650541283537,0.481015637079958,-0.111003608556913,0.481015637079958,-0.111003608556913,-1.29504209983066,0.481015637079958,-0.703022854193785,-0.111003608556913,-0.703022854193785,-0.111003608556913,1.07303488271683,0.481015637079958,1.6650541283537,-0.111003608556913,1.07303488271683,0.481015637079958,-1.29504209983066,-0.111003608556913,-1.29504209983066,2.84909261962744,0.481015637079958,-0.111003608556913,-0.111003608556913,0.481015637079958,-0.703022854193785,1.07303488271683,0.481015637079958,-1.29504209983066,-1.29504209983066,-0.111003608556913,-0.111003608556913,-0.111003608556913
"round",-1.23421214683397,-0.0463989528884953,0.547507644084244,-0.0463989528884953,0.547507644084244,2.32922743500246,-0.0463989528884953,1.73532083802972,-0.0463989528884953,-0.0463989528884953,1.14141424105698,-0.0463989528884953,-1.23421214683397,2.9231340319752,0.547507644084244,-0.0463989528884953,0.547507644084244,-0.0463989528884953,-0.0463989528884953,2.32922743500246,-0.0463989528884953,-0.640305549861235,0.547507644084244,2.32922743500246,1.14141424105698,-1.23421214683397,-0.640305549861235,1.73532083802972,0.547507644084244,-0.640305549861235,-0.0463989528884953,-1.23421214683397,-0.0463989528884953,-0.0463989528884953,0.547507644084244,0.547507644084244,0.547507644084244,-0.0463989528884953,-0.0463989528884953,-0.640305549861235,-0.0463989528884953,-0.640305549861235,-1.23421214683397,-0.0463989528884953,-0.0463989528884953,-0.640305549861235,-1.82811874380671,-0.640305549861235,-1.23421214683397,-1.23421214683397,1.14141424105698,-0.640305549861235,-0.640305549861235,-0.640305549861235,-0.0463989528884953,1.14141424105698,-1.23421214683397,0.547507644084244,-0.640305549861235,-1.23421214683397,-0.640305549861235,-0.640305549861235,-0.0463989528884953,-1.23421214683397
"aunt",0.558072357847459,-0.64080756054932,-0.64080756054932,-0.64080756054932,-0.64080756054932,-0.64080756054932,-0.64080756054932,-0.64080756054932,-0.59085423061612,-0.64080756054932,-0.64080756054932,-0.64080756054932,-0.490947570749722,-0.291134251016926,3.45536549397301,3.8050388035054,0.558072357847459,-0.540900900682921,0.208399048315065,-0.291134251016926,0.208399048315065,-0.490947570749722,-0.64080756054932,-0.59085423061612,-0.241180921083727,2.70606554497502,-0.59085423061612,-0.391040910883324,-0.540900900682921,-0.59085423061612,-0.64080756054932,-0.59085423061612,-0.59085423061612,-0.59085423061612,-0.59085423061612,-0.59085423061612,3.05573885450741,1.65704561637784,-0.341087580950125,0.108492388448667,-0.291134251016926,-0.59085423061612,-0.440994240816523,0.0585390585154677,-0.64080756054932,0.00858572858226859,0.158445718381866,0.408212368047861,-0.341087580950125,0.358259038114662,0.158445718381866,0.0585390585154677,0.108492388448667,0.258352378248264,-0.241180921083727,0.657979017713857,1.65704561637784,-0.64080756054932,-0.0913209312841296,-0.59085423061612,0.757885677580255,-0.540900900682921,0.45816569798106,-0.391040910883324
"first",0.448046601719273,0.04417360862021,-1.16744537067698,0.448046601719273,-0.359699384478853,0.04417360862021,1.2557925879174,-1.57131836377604,-0.763572377577916,0.851919594818336,-0.359699384478853,-0.359699384478853,1.2557925879174,0.04417360862021,0.04417360862021,2.46741156721459,0.04417360862021,-0.359699384478853,-0.763572377577916,0.04417360862021,1.2557925879174,0.448046601719273,0.04417360862021,0.04417360862021,-0.359699384478853,-1.16744537067698,0.448046601719273,-0.359699384478853,-0.359699384478853,-0.763572377577916,2.06353857411553,-1.16744537067698,-1.57131836377604,0.448046601719273,-0.763572377577916,0.04417360862021,0.851919594818336,1.2557925879174,0.851919594818336,-0.359699384478853,-0.763572377577916,-0.359699384478853,-1.57131836377604,0.04417360862021,-1.57131836377604,-0.763572377577916,1.2557925879174,1.65966558101646,0.04417360862021,-0.763572377577916,0.04417360862021,-1.16744537067698,-0.359699384478853,0.04417360862021,0.851919594818336,2.46741156721459,-1.16744537067698,-0.763572377577916,1.65966558101646,0.448046601719273,0.04417360862021,0.04417360862021,0.851919594818336,-2.37906434997417
