NMI,ARI,ACC,HOM,COM,PUR
0.97681177,0.98476,0.99523807,0.9764988,0.9771249,0.99523807
0.97682136,0.9847497,0.99523807,0.9770773,0.97656554,0.99523807
0.97682136,0.9847497,0.99523807,0.9770773,0.97656554,0.99523807
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9774389,0.9868056,0.99523807,0.9770773,0.9778008,0.99523807
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.97681177,0.98476,0.99523807,0.9764988,0.9771249,0.99523807
0.97681177,0.98476,0.99523807,0.9764988,0.9771249,0.99523807
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.97682136,0.9847497,0.99523807,0.9770773,0.97656554,0.99523807
0.9774389,0.9868056,0.99523807,0.9770773,0.9778008,0.99523807
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.97682136,0.9847497,0.99523807,0.9770773,0.97656554,0.99523807
0.9774489,0.9867967,0.99523807,0.9777445,0.9771534,0.99523807
0.97681177,0.98476,0.99523807,0.9764988,0.9771249,0.99523807
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9774389,0.9868056,0.99523807,0.9770773,0.9778008,0.99523807
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.97681177,0.98476,0.99523807,0.9764988,0.9771249,0.99523807
